0,1,2
0.0,1.0,1.0
1.0,282.0,1.0
1.0,378.0,1.0
5.0,40.0,0.0
8.0,11.0,0.0
8.0,40.0,0.0
10.0,1.0,1.0
11.0,223.0,1.0
12.0,40.0,1.0
12.0,282.0,0.0
13.0,331.0,1.0
17.0,1.0,1.0
20.0,19.0,0.0
22.0,255.0,1.0
23.0,131.0,1.0
23.0,331.0,1.0
25.0,258.0,0.0
28.0,342.0,1.0
29.0,348.0,0.0
30.0,282.0,0.0
30.0,324.0,1.0
34.0,342.0,1.0
35.0,342.0,0.0
36.0,149.0,1.0
36.0,167.0,0.0
36.0,172.0,0.0
36.0,212.0,1.0
36.0,258.0,0.0
36.0,302.0,0.0
36.0,331.0,1.0
36.0,342.0,0.0
36.0,386.0,0.0
37.0,378.0,0.0
37.0,386.0,0.0
38.0,108.0,1.0
39.0,258.0,1.0
39.0,324.0,1.0
40.0,174.0,0.0
40.0,282.0,1.0
40.0,331.0,0.0
40.0,342.0,0.0
40.0,348.0,0.0
42.0,282.0,1.0
42.0,378.0,1.0
44.0,227.0,1.0
45.0,324.0,0.0
45.0,378.0,0.0
51.0,258.0,1.0
52.0,258.0,1.0
52.0,282.0,0.0
56.0,111.0,1.0
56.0,131.0,1.0
56.0,159.0,0.0
56.0,162.0,0.0
56.0,212.0,0.0
56.0,258.0,1.0
56.0,280.0,0.0
56.0,302.0,0.0
56.0,331.0,0.0
56.0,386.0,1.0
59.0,106.0,1.0
59.0,131.0,1.0
59.0,167.0,0.0
59.0,174.0,0.0
59.0,212.0,1.0
59.0,233.0,0.0
59.0,273.0,0.0
59.0,282.0,0.0
59.0,295.0,0.0
59.0,300.0,0.0
59.0,302.0,1.0
59.0,331.0,1.0
59.0,342.0,0.0
59.0,386.0,0.0
61.0,40.0,1.0
61.0,378.0,0.0
62.0,106.0,1.0
62.0,131.0,1.0
62.0,149.0,0.0
62.0,172.0,0.0
62.0,174.0,1.0
62.0,212.0,0.0
62.0,233.0,1.0
62.0,277.0,0.0
62.0,300.0,0.0
62.0,342.0,0.0
62.0,343.0,0.0
62.0,386.0,0.0
64.0,108.0,1.0
64.0,131.0,1.0
64.0,167.0,0.0
64.0,172.0,1.0
64.0,212.0,0.0
64.0,258.0,1.0
64.0,277.0,0.0
64.0,280.0,0.0
64.0,302.0,1.0
64.0,331.0,1.0
64.0,342.0,0.0
68.0,273.0,0.0
72.0,142.0,1.0
75.0,14.0,0.0
75.0,60.0,0.0
75.0,106.0,1.0
75.0,108.0,1.0
75.0,174.0,1.0
75.0,212.0,0.0
75.0,258.0,0.0
75.0,280.0,0.0
75.0,302.0,0.0
75.0,329.0,0.0
75.0,331.0,0.0
75.0,386.0,0.0
76.0,378.0,0.0
79.0,131.0,0.0
79.0,149.0,0.0
79.0,233.0,0.0
79.0,282.0,0.0
79.0,300.0,1.0
79.0,302.0,0.0
79.0,331.0,0.0
79.0,342.0,0.0
79.0,386.0,1.0
83.0,280.0,1.0
84.0,258.0,1.0
84.0,306.0,1.0
85.0,40.0,0.0
87.0,282.0,0.0
90.0,1.0,0.0
90.0,40.0,0.0
90.0,106.0,1.0
90.0,172.0,0.0
90.0,255.0,0.0
96.0,195.0,0.0
102.0,348.0,1.0
108.0,142.0,1.0
111.0,331.0,1.0
116.0,167.0,0.0
118.0,1.0,0.0
121.0,378.0,1.0
122.0,331.0,0.0
124.0,40.0,0.0
124.0,149.0,0.0
127.0,19.0,0.0
131.0,386.0,1.0
133.0,40.0,0.0
134.0,172.0,0.0
134.0,258.0,0.0
134.0,282.0,0.0
134.0,386.0,1.0
135.0,255.0,0.0
137.0,255.0,0.0
137.0,282.0,0.0
138.0,277.0,1.0
140.0,19.0,0.0
141.0,19.0,1.0
143.0,273.0,1.0
147.0,255.0,0.0
148.0,40.0,1.0
149.0,149.0,0.0
151.0,106.0,1.0
151.0,108.0,1.0
151.0,149.0,1.0
151.0,174.0,0.0
151.0,179.0,1.0
151.0,212.0,1.0
151.0,280.0,1.0
151.0,300.0,0.0
151.0,322.0,1.0
151.0,342.0,0.0
151.0,386.0,0.0
152.0,233.0,0.0
153.0,106.0,1.0
154.0,282.0,0.0
154.0,378.0,0.0
156.0,1.0,1.0
160.0,1.0,0.0
164.0,40.0,1.0
165.0,19.0,1.0
165.0,40.0,1.0
167.0,386.0,1.0
168.0,282.0,0.0
170.0,282.0,0.0
171.0,106.0,1.0
171.0,108.0,1.0
171.0,172.0,1.0
171.0,386.0,1.0
174.0,19.0,0.0
178.0,142.0,1.0
184.0,142.0,1.0
185.0,72.0,1.0
186.0,348.0,0.0
188.0,172.0,0.0
190.0,386.0,0.0
192.0,106.0,1.0
195.0,40.0,0.0
196.0,158.0,0.0
198.0,106.0,1.0
198.0,131.0,0.0
198.0,149.0,0.0
198.0,167.0,0.0
198.0,172.0,0.0
198.0,174.0,0.0
198.0,206.0,0.0
198.0,233.0,0.0
198.0,302.0,1.0
198.0,331.0,0.0
198.0,342.0,1.0
198.0,386.0,0.0
199.0,19.0,1.0
200.0,172.0,1.0
204.0,324.0,1.0
206.0,342.0,1.0
208.0,106.0,1.0
208.0,255.0,1.0
213.0,106.0,0.0
213.0,108.0,0.0
213.0,131.0,1.0
213.0,149.0,0.0
213.0,155.0,0.0
213.0,167.0,0.0
213.0,174.0,0.0
213.0,212.0,0.0
213.0,258.0,0.0
213.0,277.0,0.0
213.0,280.0,0.0
213.0,300.0,0.0
213.0,302.0,0.0
213.0,342.0,0.0
215.0,233.0,0.0
215.0,348.0,0.0
215.0,378.0,0.0
220.0,40.0,0.0
221.0,19.0,0.0
222.0,167.0,0.0
225.0,142.0,1.0
225.0,172.0,0.0
225.0,174.0,0.0
225.0,212.0,1.0
225.0,300.0,0.0
226.0,342.0,1.0
229.0,282.0,1.0
